iter	Passed	Remaining
0	53	53299
1	53	26813
2	54	17988
3	54	13564
4	54	10911
5	55	9141
6	55	7881
7	55	6933
8	56	6192
9	56	5600
10	56	5115
11	57	4711
12	57	4371
13	57	4078
14	58	3825
15	58	3604
16	58	3409
17	59	3236
18	59	3080
19	59	2939
20	60	2812
21	60	2695
22	60	2590
23	61	2493
24	61	2403
25	61	2320
26	62	2244
27	62	2173
28	62	2108
29	63	2047
30	63	1991
31	64	1937
32	64	1886
33	64	1838
34	65	1792
35	65	1750
36	65	1709
37	65	1670
38	66	1634
39	66	1601
40	67	1568
41	67	1537
42	67	1507
43	68	1478
44	68	1450
45	68	1423
46	68	1398
47	69	1373
48	69	1350
49	69	1327
50	70	1306
51	70	1285
52	70	1265
53	71	1245
54	71	1227
55	71	1210
56	72	1193
57	72	1177
58	72	1161
59	73	1145
60	73	1131
61	73	1118
62	74	1105
63	74	1092
64	75	1079
65	75	1067
66	75	1055
67	75	1041
68	76	1030
69	76	1019
70	77	1008
71	77	998
72	77	987
73	78	977
74	78	967
75	78	957
76	79	947
77	79	938
78	79	929
79	80	920
80	80	911
81	80	904
82	81	896
83	81	888
84	81	879
85	82	871
86	82	863
87	82	856
88	82	849
89	83	842
90	83	835
91	83	828
92	84	822
93	84	815
94	84	809
95	85	802
96	85	796
97	85	790
98	86	784
99	86	778
100	86	772
101	86	765
102	87	760
103	87	755
104	87	750
105	88	744
106	88	739
107	88	734
108	89	729
109	89	724
110	89	718
111	90	713
112	90	709
113	90	705
114	91	700
115	91	695
116	91	691
117	91	687
118	92	682
119	92	678
120	92	674
121	93	670
122	93	664
123	93	660
124	93	656
125	94	653
126	94	650
127	94	645
128	95	641
129	95	638
130	95	634
131	95	630
132	96	627
133	96	623
134	96	620
135	97	616
136	97	613
137	97	609
138	97	606
139	98	603
140	98	599
141	98	596
142	99	593
143	99	590
144	99	587
145	99	584
146	100	581
147	100	578
148	100	576
149	101	573
150	101	570
151	101	568
152	102	565
153	102	562
154	102	560
155	103	557
156	103	554
157	103	552
158	103	549
159	104	547
160	104	544
161	104	542
162	105	539
163	105	537
164	105	535
165	106	533
166	106	530
167	106	528
168	106	526
169	107	523
170	107	521
171	107	519
172	108	517
173	108	515
174	108	513
175	109	511
176	109	509
177	109	507
178	110	505
179	110	503
180	110	500
181	110	498
182	111	496
183	111	494
184	111	492
185	112	490
186	112	488
187	112	486
188	112	484
189	113	482
190	113	480
191	113	479
192	114	477
193	114	475
194	114	473
195	115	472
196	115	470
197	115	468
198	116	467
199	116	465
200	116	464
201	117	462
202	117	460
203	117	459
204	117	457
205	118	455
206	118	454
207	118	452
208	119	451
209	119	449
210	119	448
211	120	446
212	120	445
213	120	443
214	121	442
215	121	440
216	121	439
217	122	437
218	122	436
219	122	435
220	123	434
221	123	432
222	123	431
223	124	429
224	124	428
225	124	426
226	124	425
227	125	423
228	125	422
229	125	420
230	125	419
231	126	417
232	126	416
233	126	414
234	127	413
235	127	412
236	127	410
237	127	409
238	128	407
239	128	406
240	128	405
241	128	403
242	129	402
243	129	401
244	129	400
245	130	399
246	130	398
247	130	396
248	131	395
249	131	394
250	131	393
251	132	391
252	132	390
253	132	389
254	132	388
255	133	387
256	133	386
257	133	385
258	134	383
259	134	382
260	134	381
261	134	380
262	135	378
263	135	377
264	135	376
265	136	375
266	136	374
267	136	373
268	136	372
269	137	371
270	137	370
271	137	369
272	138	368
273	138	366
274	138	365
275	139	364
276	139	363
277	139	362
278	139	361
279	140	360
280	140	359
281	140	358
282	141	357
283	141	356
284	141	355
285	141	354
286	142	353
287	142	352
288	142	351
289	142	350
